model,noise_sigma,denoise_method,Accuracy,F1-Score,Sensitivity,Specificity,Precision,TP,FP,FN,TN
yolov10m,0,gaussian_filter,0.7474,0.767,0.756,0.7368,0.7783,158,45,51,126
yolo11m,0,gaussian_filter,0.7593,0.7753,0.7772,0.7386,0.7734,157,46,45,130
yolo12m,0,gaussian_filter,0.7649,0.7852,0.7871,0.7381,0.7833,159,44,43,124
yolov8m,1,gaussian_filter,0.7875,0.806,0.8141,0.756,0.798,162,41,37,127
yolov9m,1,gaussian_filter,0.7932,0.803,0.8131,0.7717,0.7931,161,42,37,142
yolov10m,1,gaussian_filter,0.7429,0.7599,0.8182,0.6685,0.7094,144,59,32,119
yolo11m,1,gaussian_filter,0.7814,0.797,0.822,0.7371,0.7734,157,46,34,129
yolo12m,1,gaussian_filter,0.7679,0.7797,0.7667,0.7692,0.7931,161,42,49,140
yolov8m,5,gaussian_filter,0.7507,0.7579,0.8136,0.6927,0.7094,144,59,33,133
yolov9m,5,gaussian_filter,0.7613,0.7775,0.7411,0.7874,0.8177,166,37,58,137
yolov10m,5,gaussian_filter,0.7368,0.7512,0.7588,0.7127,0.7438,151,52,48,129
yolo11m,5,gaussian_filter,0.773,0.7812,0.8287,0.7196,0.7389,150,53,31,136
yolo12m,5,gaussian_filter,0.7834,0.801,0.799,0.7647,0.803,163,40,41,130
yolov8m,10,gaussian_filter,0.755,0.7772,0.8197,0.6845,0.7389,150,53,33,115
yolov9m,10,gaussian_filter,0.7704,0.7809,0.799,0.7405,0.7635,155,48,39,137
yolov10m,10,gaussian_filter,0.7637,0.7795,0.8128,0.7119,0.7488,152,51,35,126
yolo11m,10,gaussian_filter,0.7742,0.7868,0.8115,0.7348,0.7635,155,48,36,133
yolo12m,10,gaussian_filter,0.7554,0.7661,0.8011,0.7097,0.734,149,54,37,132
yolov8m,20,gaussian_filter,0.7634,0.7742,0.8521,0.6828,0.7094,144,59,25,127
yolov9m,20,gaussian_filter,0.7696,0.7833,0.7833,0.7542,0.7833,159,44,44,135
yolov10m,20,gaussian_filter,0.7047,0.7187,0.8269,0.6022,0.6355,129,74,27,112
yolo11m,20,gaussian_filter,0.7468,0.7519,0.7653,0.7282,0.7389,150,53,46,142
yolo12m,20,gaussian_filter,0.7302,0.7335,0.7282,0.7323,0.7389,150,53,56,145
yolov8m,30,gaussian_filter,0.7388,0.7531,0.7626,0.7127,0.7438,151,52,47,129
yolov9m,30,gaussian_filter,0.7228,0.7358,0.7376,0.7065,0.734,149,54,53,130
yolov10m,30,gaussian_filter,0.7291,0.7432,0.8344,0.6359,0.67,136,67,27,117
yolo11m,30,gaussian_filter,0.7016,0.7,0.7514,0.6585,0.6552,133,70,44,135
yolo12m,30,gaussian_filter,0.7209,0.7353,0.7317,0.7088,0.7389,150,53,55,129
yolov8m,0,bm3d,0.7611,0.7871,0.791,0.7233,0.7833,159,44,42,115
yolov9m,0,bm3d,0.7874,0.8058,0.785,0.7904,0.8276,168,35,46,132
yolov10m,0,bm3d,0.7357,0.7488,0.7215,0.7527,0.7783,158,45,61,137
yolo11m,0,bm3d,0.7806,0.804,0.81,0.7438,0.798,162,41,38,119
yolo12m,0,bm3d,0.7437,0.7548,0.7371,0.7514,0.7734,157,46,56,139
yolov8m,1,bm3d,0.7669,0.7888,0.8158,0.7108,0.7635,155,48,35,118
yolov9m,1,bm3d,0.7456,0.7543,0.7452,0.746,0.7635,155,48,53,141
yolov10m,1,bm3d,0.7867,0.801,0.809,0.7614,0.7931,161,42,38,134
yolo11m,1,bm3d,0.7676,0.7828,0.8031,0.7288,0.7635,155,48,38,129
yolo12m,1,bm3d,0.7375,0.7651,0.7008,0.7949,0.8424,171,32,73,124
yolov8m,5,bm3d,0.7804,0.7891,0.795,0.7647,0.7833,159,44,41,143
yolov9m,5,bm3d,0.7681,0.7808,0.7277,0.8212,0.8424,171,32,64,147
yolov10m,5,bm3d,0.7425,0.7552,0.8011,0.6848,0.7143,145,58,36,126
yolo11m,5,bm3d,0.5912,0.6291,0.4986,0.8026,0.8522,173,30,174,122
yolo12m,5,bm3d,0.7399,0.7551,0.6942,0.8023,0.8276,168,35,74,142
yolov8m,10,bm3d,0.779,0.7845,0.8931,0.6856,0.6995,142,61,17,133
yolov9m,10,bm3d,0.7662,0.7826,0.7678,0.7644,0.798,162,41,49,133
yolov10m,10,bm3d,0.752,0.7661,0.8011,0.7017,0.734,149,54,37,127
yolo11m,10,bm3d,0.7257,0.7366,0.6991,0.7581,0.7783,158,45,68,141
yolo12m,10,bm3d,0.7406,0.7553,0.7294,0.7542,0.7833,159,44,59,135
yolov8m,20,bm3d,0.748,0.75,0.7956,0.705,0.7094,144,59,37,141
yolov9m,20,bm3d,0.7419,0.7604,0.7143,0.7791,0.8128,165,38,66,134
yolov10m,20,bm3d,0.7673,0.7868,0.8115,0.7176,0.7635,155,48,36,122
yolo11m,20,bm3d,0.7722,0.7908,0.8201,0.7193,0.7635,155,48,34,123
yolo12m,20,bm3d,0.7593,0.7719,0.7857,0.7308,0.7586,154,49,42,133
yolov8m,30,bm3d,0.7168,0.7237,0.7184,0.715,0.7291,148,55,58,138
yolov9m,30,bm3d,0.75,0.7568,0.7549,0.7448,0.7586,154,49,50,143
yolov10m,30,bm3d,0.7586,0.7705,0.865,0.6649,0.6946,141,62,22,123
yolo11m,30,bm3d,0.7136,0.713,0.6543,0.7843,0.7833,159,44,84,160
yolo12m,30,bm3d,0.7473,0.7621,0.7926,0.7,0.734,149,54,39,126
yolov8m,0,autoencoder,0.8086,0.8273,0.8173,0.7975,0.8374,170,33,38,130
yolov9m,0,autoencoder,0.8027,0.8198,0.8218,0.7798,0.8177,166,37,36,131
